Time (sec),RPM,Air Temp (C),Coolant Temp (C),TPS (%),MAP (kPa),Battery Volt (V),Fuel Open Time (ms),Starting Compensation - Fuel (%),Air Temp Compensation - Fuel (%),Coolant Temp Compensation - Fuel (%),Ignition Angle (DBTDC),Digital Input #1,Digital Input #2,Digital Input #3,Digital Input #4,Digital Input #5,Digital Input #6,Digital Input #7,Digital Input #8,OIL PRES,OIL TEMP (C),Digital Output #1,Digital Output #2,Digital Output #3,Digital Output #4,Digital Output #5,Digital Output #6,Digital Output #7,Digital Output #8,Digital Output #9,Digital Output #10,System Temperature (C),Measured Lambda #1,
0.000,1569,39.0,57.0,30.0,101.97,12.60,4.95,110.1,100.0,110.0,5.0,0,0,0,0,0,0,0,0,13.91,47.0,1,0,1,0,0,0,0,0,0,0,29,0.89,
0.050,1947,39.0,57.0,31.7,101.35,12.70,4.95,110.1,100.0,110.0,5.0,0,0,0,0,0,0,0,0,19.86,46.9,1,0,1,0,0,0,0,0,0,0,29,0.84,
0.100,2316,39.1,57.0,32.1,101.70,12.70,4.94,110.1,100.0,110.0,5.0,0,0,0,0,0,0,0,0,26.35,46.9,1,0,1,0,0,0,0,0,0,0,29,0.76,
0.150,2573,39.1,57.0,29.8,101.08,12.70,4.95,110.1,100.0,110.0,5.0,0,0,0,0,0,0,0,0,30.02,47.0,1,0,1,0,0,0,0,0,0,0,29,0.78,
0.200,2500,39.1,57.0,18.2,100.66,12.80,4.95,110.1,100.0,110.0,5.0,0,0,0,0,0,0,0,0,31.38,46.1,1,0,1,0,0,0,0,0,0,0,29,0.78,
0.250,2687,40.0,57.0,11.1,97.77,13.30,4.84,110.1,100.0,110.0,5.0,0,0,0,0,0,0,0,0,33.67,47.0,1,0,1,0,0,0,0,0,0,0,29,0.78,
0.300,2864,40.0,57.0,10.7,96.94,13.30,4.79,110.1,100.0,110.0,5.0,0,0,0,0,0,0,0,0,36.61,46.9,1,0,1,0,0,0,0,0,0,0,29,0.77,
0.350,2729,40.0,57.0,10.7,96.60,13.30,4.76,110.1,100.0,110.0,5.0,0,0,0,0,0,0,0,0,37.45,46.1,1,0,1,0,0,0,0,0,0,0,29,0.77,
0.400,2788,40.0,57.0,11.6,96.66,13.30,4.76,110.1,100.0,110.0,5.0,0,0,0,0,0,0,0,0,37.26,47.0,1,0,1,0,0,0,0,0,0,0,29,0.77,
0.450,2794,40.0,57.0,13.8,97.08,13.30,4.77,110.1,100.0,110.0,5.0,0,0,0,0,0,0,0,0,37.53,47.0,1,0,1,0,0,0,0,0,0,0,29,0.77,
